Time,IT_Load_kW,Well_Water_Temp_C,Available_Well_Volume_m3,Well_Depth_m,Pump_Flow_Rate_m3s,Pump_Energy_kWh,Water_Usage_m3,Data_Centre_Target_Temp_C,Data_Centre_Actual_Temp_C,Pump_Head_m
0,60000,15.0,1.0,80,0.015,900000,10,24,23.8,80
1,60500,15.0,1.0,80,0.015,920000,10,24,23.7,80
2,61000,15.0,1.0,80,0.015,940000,10,24,23.6,80
3,62000,15.0,1.0,80,0.016,960000,10,24,23.5,80
4,62500,15.0,1.0,80,0.016,980000,10,24,23.4,80
5,63000,15.0,1.0,80,0.017,1000000,10,24,23.3,80
6,63500,15.0,1.0,80,0.017,1020000,10,24,23.2,80
7,64000,15.0,1.0,80,0.017,1040000,10,24,23.1,80
8,63500,15.0,1.0,80,0.017,1020000,10,24,23.2,80
9,62500,15.0,1.0,80,0.016,980000,10,24,23.3,80
10,61000,15.0,1.0,80,0.015,940000,10,24,23.4,80
11,60000,15.0,1.0,80,0.015,900000,10,24,23.5,80
